,total_corner,home_corner_ma,home_tt_coner_ma,away_corner_ma,away_total_corner_ma,home_wide_pass,home_cross,away_wide_pass,away_cross
0,15.0,3.6666666666666665,9.666666666666666,3.3333333333333335,11.666666666666666,10.666666666666666,11.0,16.666666666666668,15.0
1,11.0,6.333333333333333,11.333333333333334,5.666666666666667,11.666666666666666,13.0,23.0,11.0,17.333333333333332
2,13.0,5.666666666666667,10.333333333333334,6.0,11.0,14.0,15.666666666666666,16.0,20.666666666666668
3,10.0,7.333333333333333,11.666666666666666,2.6666666666666665,13.0,17.333333333333332,16.333333333333332,12.333333333333334,10.0
4,10.0,6.333333333333333,10.666666666666666,8.666666666666666,10.333333333333334,21.666666666666668,22.333333333333332,26.0,23.666666666666668
5,9.0,4.333333333333333,9.0,5.333333333333333,8.666666666666666,17.666666666666668,13.0,24.333333333333332,23.666666666666668
6,11.0,3.3333333333333335,8.333333333333334,7.0,11.0,16.666666666666668,21.0,14.333333333333334,21.333333333333332
7,11.0,2.6666666666666665,10.0,7.333333333333333,10.666666666666666,16.666666666666668,14.0,18.666666666666668,22.333333333333332
8,17.0,9.333333333333334,11.666666666666666,12.666666666666666,15.333333333333334,26.0,37.0,36.0,38.0
9,17.0,3.3333333333333335,11.666666666666666,8.0,13.666666666666666,10.666666666666666,17.333333333333332,19.666666666666668,31.666666666666668
10,9.0,7.333333333333333,15.333333333333334,5.333333333333333,10.333333333333334,16.0,27.0,16.333333333333332,19.0
11,15.0,5.0,11.666666666666666,5.666666666666667,11.666666666666666,9.666666666666666,16.333333333333332,14.0,21.666666666666668
12,11.0,5.333333333333333,14.333333333333334,6.666666666666667,12.0,13.0,18.0,17.0,27.0
13,9.0,4.0,8.0,5.0,10.0,16.333333333333332,16.0,11.666666666666666,23.666666666666668
14,10.0,4.666666666666667,11.333333333333334,5.666666666666667,11.333333333333334,8.333333333333334,14.333333333333334,15.666666666666666,18.666666666666668
15,13.0,3.3333333333333335,9.0,5.333333333333333,9.666666666666666,10.666666666666666,13.333333333333334,16.666666666666668,18.333333333333332
16,11.0,5.666666666666667,7.666666666666667,8.333333333333334,10.333333333333334,22.666666666666668,25.333333333333332,25.666666666666668,29.666666666666668
17,12.0,6.333333333333333,10.0,5.666666666666667,10.0,20.666666666666668,23.333333333333332,15.666666666666666,18.666666666666668
18,5.0,5.333333333333333,12.0,2.0,7.0,18.666666666666668,17.666666666666668,11.0,15.666666666666666
19,16.0,5.333333333333333,10.0,4.0,6.666666666666667,21.666666666666668,19.333333333333332,17.0,13.333333333333334
20,8.0,2.6666666666666665,9.333333333333334,3.6666666666666665,8.333333333333334,18.666666666666668,15.0,13.0,19.666666666666668
21,17.0,7.333333333333333,10.666666666666666,4.333333333333333,6.0,18.333333333333332,20.0,18.666666666666668,20.0
